rep,auc_ref,auc_cur,auc_drop,segment_auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st
84,0.8494805138239274,0.8784391245918677,-0.028958610767940263,0.019138787937897472,0.03616344928741455,0.01638730366961676,0.3336499999999987,0.07160861221501748,-0.0001398921012878418,-0.005347802734374962
85,0.869253750640753,0.8649245250379359,0.004329225602817122,0.09779593305421042,0.02553403377532959,0.004798748152487834,0.35056716389706477,0.058637458212138144,0.00011664628982543945,-0.011343554687500035
86,0.8646609126950765,0.8573142716308748,0.007346641064201687,0.05524723082102212,0.026247859001159668,0.004385686828819744,0.3690499999999846,0.048993265311907175,0.00013655424118041992,0.009975048828125055
87,0.8541540652535028,0.8559610061540235,-0.0018069409005206927,0.013281420915310593,0.025753915309906006,0.006110492026616769,0.5577999999999678,0.06297724662542516,-0.00010013580322265625,-0.0009533203125000056
88,0.8418075803746802,0.8563080827507754,-0.014500502376095237,0.1021040943928756,0.03231292963027954,0.013871747498270361,0.9983000000000166,0.07371979472755782,-0.00019222497940063477,-0.0008463378906250485
89,0.8618375665355261,0.8547832963567714,0.007054270178754707,-0.04131710181103254,0.025324255228042603,0.008184907595448274,0.3406499999999903,0.05914642465413171,-4.76837158203125e-05,-0.0030185058593749647
90,0.8692780490265504,0.8484038828548174,0.02087416617173299,-0.008946785110295674,0.0415041446685791,0.010135655360126124,0.5714999999999851,0.054155284518493184,-0.00021886825561523438,0.006877636718749969
91,0.8571800101242628,0.8696232420429313,-0.012443231918668474,0.06579415537598676,0.034857988357543945,0.009417783729230687,0.25864999999999966,0.06629784645011534,2.574920654296875e-05,-0.007996386718750026
92,0.8584871348140588,0.8568781943763423,0.0016089404377165328,-0.01167265330781564,0.02500215172767639,0.008510670405121153,0.3734453667425895,0.058904897618429465,-0.00020182132720947266,-0.0030552734375000057
93,0.8639567879213705,0.8404585440178955,0.02349824390347499,-0.007556496677763258,0.019082501530647278,0.004824662959291212,0.5458499999999739,0.048754934934437,0.00018364191055297852,0.014586816406250036
94,0.855712388315341,0.8533228274500387,0.002389560865302287,0.06667733230159112,0.026418447494506836,0.009743360544205923,0.5831499999999643,0.05416540216290773,-4.166364669799805e-05,-0.007563818359374974
95,0.8570983644712404,0.8675987375711964,-0.010500373099955995,0.08422530607293732,0.028012901544570923,0.007048261414564103,0.4745752108819429,0.04973922588437285,0.00018703937530517578,-0.00092407226562502
96,0.8701276731406519,0.8653827335797354,0.0047449395609164835,0.11579961129440686,0.042265236377716064,0.011803932115167238,0.3104075871327864,0.05575635475443712,-3.9517879486083984e-05,-0.02122934570312507
97,0.8594142707328327,0.8482962764254633,0.011117994307369372,0.11193631648386748,0.038305044174194336,0.01495733324606081,0.36615905097866647,0.04275859313431416,-0.0002741813659667969,0.0033151855468750435
98,0.8546537700936605,0.8651570581923901,-0.01050328809872958,0.03293001121417993,0.022374719381332397,0.012405997089147112,0.27754999999999064,0.06868510419957563,-4.464387893676758e-05,0.005484667968750023
99,0.8553803717896513,0.8581106514944167,-0.0027302797047653593,0.0005364015739215411,0.044668883085250854,0.012665803269161278,0.8437500000000259,0.054706562168847554,-5.0187110900878906e-05,-0.010053564453124997
100,0.8441048805015663,0.8566692144136109,-0.01256433391204459,0.05797030714166662,0.02852270007133484,0.0076311319788675515,0.2016499999999946,0.05039733488317038,-0.0001474618911743164,-0.011454980468749987
101,0.8525445379183446,0.8603602901967389,-0.007815752278394261,0.007498402646428981,0.035940930247306824,0.0160426574874214,0.20089999999999753,0.06343546578826552,-0.00013965368270874023,0.00025664062499997087
102,0.8564239393934112,0.8590956414195886,-0.0026717020261773916,0.0727837606168199,0.02753397822380066,0.005655659729596462,0.40869999999998996,0.05312452357070002,0.0006378889083862305,0.0004188964843749865
103,0.8523459274743521,0.860422517291316,-0.008076589816963908,-0.08657351999031626,0.03373411297798157,0.007790105634582698,0.33284999999998555,0.055211108104713996,-0.00012022256851196289,-0.0007091796875000056
104,0.8526080512855085,0.8390367135743695,0.013571337711139053,-0.015430240549828111,0.0183866024017334,0.005598225521824619,0.5417499999999711,0.04129539511450608,-3.904104232788086e-05,-0.0031562988281249593
105,0.8493856506385216,0.8552236889928571,-0.005838038354335495,0.045170857801197783,0.039122432470321655,0.01938532068683571,0.5201000000000539,0.07296897184619214,-2.4199485778808594e-05,-0.01311582031249997
106,0.8590040256462743,0.8630319395461475,-0.004027913899873226,0.07152563073546647,0.02857065200805664,0.011300255884780543,0.5721499999999797,0.06223910780850524,0.00010979175567626953,-0.0009557128906249601
107,0.8590627161134163,0.8458892096018884,0.013173506511527933,-0.09779207873771745,0.041211724281311035,0.013204422448586182,0.36954999999998583,0.06868812137813138,-0.00011670589447021484,-0.0037229003906250058
108,0.8582482433490422,0.8539009653206089,0.004347278028433266,-0.03570185030295103,0.032198965549468994,0.005421000902491333,0.5378500000000466,0.052865499166838824,-0.00018537044525146484,-2.089843749997211e-05
109,0.8528312629174057,0.8574162233590258,-0.004584960441620045,-0.0817953879278942,0.03158384561538696,0.007573035318788904,0.3560776295608608,0.05609082950351326,-8.51750373840332e-05,0.0010766113281249767
110,0.8619717947111253,0.8481141016873134,0.013857693023811901,0.08375133699921822,0.0440942645072937,0.02026481240202852,0.6078999999999661,0.0714243623608126,-0.00014656782150268555,-0.01138476562499996
111,0.8487983366052989,0.8673749385969053,-0.01857660199160638,0.08388299070853833,0.040410518646240234,0.02111307866471817,0.2751432386444473,0.07403699480574631,0.0007134675979614258,0.004337402343750019
